content|competent|priority
i bought a product, could I modify my fucking purchase?|change_order|high_priority
ask an agent where to notify fucking problems paying, please|payment_issue|medium_priority
could u ask an agent how to notify a fucking issue making a payment, please?|payment_issue|high_priority
the event was cancelled and i want to obtain a fucking reimbursement, please|get_refund|standard_priority
please, could u show me the fucking phone number of client service?|contact_customer_service|high_priority
can you tell me how to track my fucking sdhipment?|track_order|medium_priority
please, ask an agent to inform of a fucking issue with my payment|payment_issue|medium_priority
please, ask an agent where i could inform of fucking problems making a payment|payment_issue|high_priority
I want a fuckimg user account and I'd like to open one|create_account|standard_priority
i need a fucking reimbursement, can i request one, please?|get_refund|high_priority
could u ask an agent where i can update my fucking shipping address?|change_shipping_address|high_priority
ask an agent how to report fucking problems paying|payment_issue|medium_priority
please, I wanna know where I can change my fucking order|change_order|standard_priority
polease, i want to know about modifying my fucking order|change_order|high_priority
i wanna change my fucking order, could you tell me how I can do it, please?|change_order|high_priority
I've got no fucking user account, can you open one?|create_account|standard_priority
how can I solve fucking payment issues?|payment_issue|medium_priority
my fucking profile's beewn hacked and I would like to get it back|recover_password|standard_priority
I want to know the fucking status of my reimbursement and I would like to track it|track_refund|standard_priority
i wanna view the fucking options for delivery, what can i do, please?|delivery_options|high_priority
tell me if I could register several fucking profiles with the same email address, please|create_account|medium_priority
i need information and id like to speak with fucking client service|contact_customer_service|high_priority
ask an agent if I could see the fuckig cancdllation fee|check_cancellation_fee|medium_priority
i wanna request some fucking bill , can you give me some information?, please|get_invoice|high_priority
can you ask an agent how I can inform of fucking problems with my payment, please?|payment_issue|medium_priority
could u ask an agent how to report fucking problems paying?|payment_issue|high_priority
I do not understand you, help me contact a fucking person, please|contact_human_agent|standard_priority
ask an agent if I can reset my fucking password|recover_password|medium_priority
can u ask an agent how i can see their fucking refund policy, please?|check_refund_policy|high_priority
please, ask an agent where to report fucking issues paying|payment_issue|medium_priority
do you mind asking an agent where I can see a fucking invoice, please?|get_invoice|standard_priority
please , ask an agent where to notify fucking issues with my payment|payment_issue|medium_priority
i want a fucking user account, how can i create one?|create_account|high_priority
please, could you ask an agent for information about their fucking reimbursement policy?|check_refund_policy|standard_priority
you ar not helping , could you contact a fucking human agent?|contact_human_agent|high_priority
can u ask an agent if i can notify a fucking problem paying, please?|payment_issue|high_priority
please, show me the fucking email address to contact customer support|contact_customer_service|medium_priority
I'd like to inform of fucking problems paying|payment_issue|medium_priority
tell me if I can get a fucking bill|get_invoice|standard_priority
the game was postponed and I'd like to get a fucking refund, please|get_refund|standard_priority
can you ask an agent if I could solve fucking payment issues?|payment_issue|medium_priority
how could I view your fucking payment options?|check_payment_methods|medium_priority
i do not know how to see the fucking withdrawal penalty|check_cancellation_fee|high_priority
I can't find my fucking invoice, what do I have to do to see it?|check_invoices|standard_priority
how do I inform of fucking problems paying?|payment_issue|medium_priority
I would like to lodge a fucking complaint for a servioce|complaint|standard_priority
the game was postponed, could I obtain a fucking refund, pleased?|get_refund|standard_priority
can you ask an agent how I can check the fucking cancellation penalties, please?|check_cancellation_fee|medium_priority
